# Flageul, Benhamadouche, Lamballais & Laurence, IJHFF 55 (2015) 34-44,
# figure 5a, the isoQ (green x) case.  Re_tau = 149, Pr = 0.71.
# Digitised by digitize_flageul.py and cross-validated against the same
# series in panel 5b: max 0.209, rms 0.048 in <T'^2>.
# y+   <T'^2>/T_tau^2
110.242 1.18961
110.794 1.20262
111.35 1.16564
111.908 1.17334
112.469 1.23938
113.032 1.19992
113.599 1.17078
114.168 1.09459
114.741 1.10901
115.316 1.09784
115.894 1.07897
116.475 1.13867
117.059 1.13928
117.646 1.13165
118.235 1.039
118.828 1.01541
119.424 1.04285
120.022 1.00539
120.624 1.06549
121.229 1.10731
121.836 1.06413
122.447 0.98935
123.061 0.955573
123.678 0.9566
124.298 0.973586
124.921 1
125.547 1.0077
126.176 1.0011
126.809 0.948896
127.444 0.940293
128.083 0.886088
128.725 0.913328
129.37 0.902157
130.019 0.994607
130.671 0.917822
131.326 0.916025
131.984 0.894893
132.646 0.880072
133.31 0.862976
133.979 0.860555
134.65 0.946841
135.325 0.954545
136.004 0.929181
136.685 0.921674
